timestamp,queue_depth,active_batch_size,allocated_kv_slots,free_kv_slots,itl_s,avg_wait_s,p95_wait_s,max_starvation_s,short_long_ratio,queue_wait_latency,admission_latency,compute_prefill_latency,first_decode_latency,steady_state_itl,batch_utilization_ratio,idle_decode_slots,queue_persistence_ratio,max_batch_occupancy_duration,internal_fragmentation_ratio,allocator_churn_rate,page_pool_occupancy,page_gather_latency,active_sequence_residency_half_life,decode_overlap_duration,sequence_residency_lifetime,residency_amplification,avg_sequence_residency_lifetime,avg_residency_amplification,kv_allocated_per_step,kv_freed_per_step,queue_growth_rate,kv_allocation_churn_rate,pages_allocated_per_step,pages_freed_per_step,avg_batch_utilization,p95_batch_utilization,profile,memory_backend
1779704459.2262917,5,1,16,94160,0.00025279300007241545,0.007159789403279622,0.015597105026245117,0.015597105026245117,0.0,0.007173498471577962,0.015167474746704102,0.0002536773681640625,0.0,0.0,0.015625,63,0.0,0.0,31.25,0.0,0.016989466530750934,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015625,0.015625,starvation_pressure,paged
1779704459.229319,0,7,4208,89968,5.0109571410367994e-05,0.007021938051496234,0.01681351661682129,0.01681351661682129,0.0,0.007021938051496234,0.00305591310773577,7.299014500209264e-05,9.72747802734375e-05,0.0,0.109375,57,0.0,0.0,1.2832699619771863,0.0,4.468229697587496,0.0,,0.0030274391174316406,,,0.0,0.0,4192.0,0.0,-1651.5608757284613,1384668.6382107418,0.0,0.0,0.0625,0.109375,starvation_pressure,paged
1779704459.2350297,1,8,128,94048,5.833625004925125e-05,0.004981019280173562,0.01681351661682129,0.01681351661682129,0.0,0.004982081326571378,0.0025940895080566405,6.422996520996093e-05,7.243156433105469e-05,7.453000034729484e-05,0.125,56,0.0,0.0,26.5625,731271.4388777555,0.13591573224600748,0.0,,0.008738040924072266,0.0001666545867919922,3.819672131147541,0.00018668174743652344,3.7545169166376002,0.0,4080.0,175.11289245156982,714460.6012024048,48.0,4128.0,0.08333333333333333,0.125,starvation_pressure,paged
1779704459.2390866,1,10,160,94016,5.2515500101435464e-05,0.0046078241788423974,0.01681351661682129,0.01681351661682129,0.0,0.004608722833486704,0.0024797519048055014,5.916754404703776e-05,5.829334259033203e-05,7.227330015666667e-05,0.15625,54,0.0,0.0,22.5,7887.736718382698,0.16989466530750932,0.0,,0.012794971466064453,0.0001666545867919922,3.819672131147541,0.00018668174743652344,3.7545169166376002,32.0,0.0,0.0,7887.736718382698,32.0,0.0,0.1015625,0.15625,starvation_pressure,paged
1779704459.2436428,0,12,4288,89888,4.1454166572899943e-05,0.004475712776184082,0.01681351661682129,0.01681351661682129,0.0,0.004475712776184082,0.002431699207850865,5.68458012172154e-05,5.3548812866210936e-05,4.9568708410182204e-05,0.1875,52,0.0,0.0,1.0727611940298507,906022.3397174254,4.55317703024125,0.0,,0.017351150512695312,0.0001666545867919922,3.819672131147541,0.00018668174743652344,3.7545169166376002,4128.0,0.0,-219.4821559392988,906022.3397174254,4128.0,0.0,0.11875,0.1875,starvation_pressure,paged
1779704459.2502785,0,11,192,93984,4.497590915971986e-05,0.004475712776184082,0.01681351661682129,0.01681351661682129,0.0,0.004475712776184082,0.002431699207850865,5.68458012172154e-05,5.173683166503906e-05,4.609484173367188e-05,0.171875,53,0.0,0.0,18.75,622092.8036792182,0.20387359836901123,0.0,,0.02398681640625,0.00018453598022460938,3.5342465753424657,0.00018596649169921875,3.681093469539222,0.0,4096.0,0.0,617270.3788444955,16.0,4112.0,0.12760416666666666,0.1875,starvation_pressure,paged
1779704459.2545137,0,11,256,93920,4.0099545334338806e-05,0.004475712776184082,0.01681351661682129,0.01681351661682129,0.0,0.004475712776184082,0.002431699207850865,5.68458012172154e-05,5.173683166503906e-05,4.338955757179285e-05,0.171875,53,0.0,0.0,34.765625,15111.205584327854,0.27183146449201495,0.0,,0.028222084045410156,0.00018453598022460938,3.5342465753424657,0.00018596649169921875,3.681093469539222,64.0,0.0,0.0,15111.205584327854,64.0,0.0,0.13392857142857142,0.1875,starvation_pressure,paged
1779704459.2588153,0,11,304,93872,3.753199995447755e-05,0.004475712776184082,0.01681351661682129,0.01681351661682129,0.0,0.004475712776184082,0.002431699207850865,5.68458012172154e-05,5.173683166503906e-05,4.2307751500354215e-05,0.171875,53,0.0,0.0,41.44736842105263,11158.773528433654,0.32279986408426775,0.0,,0.03252363204956055,0.00018453598022460938,3.5342465753424657,0.00018596649169921875,3.681093469539222,48.0,0.0,0.0,11158.773528433654,48.0,0.0,0.138671875,0.1875,starvation_pressure,paged
1779704459.2631907,0,12,352,93824,3.848216670121474e-05,0.004264990488688151,0.01681351661682129,0.01681351661682129,0.0,0.004264990488688151,0.0024086157480875652,5.548795064290364e-05,5.173683166503906e-05,4.177501125970546e-05,0.1875,52,0.0,0.0,43.18181818181818,10970.280732345249,0.37376826367652055,0.0,,0.03689908981323242,0.00018453598022460938,3.5342465753424657,0.00018596649169921875,3.681093469539222,48.0,0.0,0.0,10970.280732345249,48.0,0.0,0.1440972222222222,0.1875,starvation_pressure,paged
1779704459.268122,0,13,384,93792,4.3082153821999855e-05,0.004100024700164795,0.01681351661682129,0.01681351661682129,0.0,0.004100024700164795,0.0024108439683914185,5.4582953453063965e-05,5.082289377848307e-05,4.19234933887314e-05,0.203125,51,0.0,0.0,41.92708333333333,6489.277570951989,0.40774719673802245,0.0,,0.04183030128479004,0.00018453598022460938,3.5342465753424657,0.00018596649169921875,3.681093469539222,32.0,0.0,0.0,6489.277570951989,32.0,0.0,0.15,0.203125,starvation_pressure,paged
